Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
02/15/2023,3763991,0.69,1378359,0.64,197344,0.65,181992,0.68,29119,0.99,904926,1.02
02/14/2023,3818310,0.7,1443405,0.67,200327,0.66,179811,0.67,29001,0.99,897813,1.02
02/13/2023,3308390,0.61,1365732,0.63,180002,0.59,159742,0.59,25900,0.88,854394,0.97
02/12/2023,1745803,0.8,656782,0.67,67457,0.86,63383,0.69,16305,0.97,749533,0.99
02/11/2023,2333226,0.81,862688,0.68,94434,1.01,88281,0.67,16638,1.02,865505,1.04
02/10/2023,3544255,0.65,1414393,0.66,179637,0.59,154760,0.57,28094,0.95,947991,1.07
02/09/2023,3762054,0.69,1458305,0.68,193326,0.64,172508,0.64,28515,0.97,909007,1.03
02/08/2023,3788204,0.7,1509779,0.7,197370,0.65,180852,0.67,29653,1.01,884755,1
02/07/2023,3746189,0.69,1489628,0.69,201438,0.67,183389,0.68,28688,0.97,867827,0.98
02/06/2023,3379513,0.62,1431232,0.67,181320,0.6,157813,0.59,26639,0.91,849008,0.96
02/05/2023,1626897,0.74,650623,0.67,69379,0.89,62640,0.69,15413,0.91,758529,1.01
02/04/2023,1743990,0.61,598818,0.47,69433,0.74,64032,0.49,13439,0.83,737000,0.89
02/03/2023,3195369,0.59,1246821,0.58,158579,0.52,135908,0.5,26238,0.89,887417,1
02/02/2023,3707389,0.68,1478477,0.69,187799,0.62,169864,0.63,27917,0.95,894790,1.01
02/01/2023,3690346,0.68,1460146,0.68,184043,0.61,169846,0.63,28492,0.97,868518,0.98
01/31/2023,3661997,0.71,1365926,0.67,198755,0.66,183485,0.68,27308,0.97,852930,0.98
01/30/2023,3230154,0.63,1371537,0.67,180476,0.6,159176,0.59,25676,0.91,850406,0.98
01/29/2023,1639092,0.78,647923,0.71,73109,0.88,65422,0.72,15371,1.14,764625,1.12
01/28/2023,2250440,0.83,861680,0.72,98609,1.01,89845,0.69,15577,1.07,841863,1.1
01/27/2023,3341423,0.65,1341589,0.66,178881,0.59,149763,0.56,26826,0.95,920095,1.06
01/26/2023,3636122,0.7,1408545,0.69,190219,0.63,173696,0.65,27061,0.96,890830,1.03
01/25/2023,3518008,0.68,1342717,0.66,188247,0.62,171748,0.64,26738,0.95,815210,0.94
01/24/2023,3574091,0.69,1410676,0.69,196319,0.65,182127,0.68,27701,0.98,863886,0.99
01/23/2023,3141424,0.61,1281037,0.63,172927,0.57,155439,0.58,25087,0.89,809261,0.93
01/22/2023,1594865,0.76,611151,0.67,64883,0.78,61728,0.68,14721,1.09,744230,1.09
01/21/2023,2139227,0.79,823236,0.69,88435,0.91,84763,0.65,15580,1.07,826850,1.08
01/20/2023,3382079,0.66,1383181,0.68,173943,0.58,150003,0.56,26548,0.94,915022,1.05
01/19/2023,3499151,0.68,1327804,0.65,179752,0.59,170122,0.63,26737,0.95,862336,0.99
01/18/2023,3610832,0.7,1449590,0.71,198264,0.66,182209,0.68,29223,1.03,877542,1.01
01/17/2023,3459096,0.67,1399573,0.68,193345,0.64,183675,0.68,27214,0.96,870650,1
01/16/2023,2175358,1.04,884152,0.96,82416,1,75892,0.84,14617,0.52,812347,1.19
01/15/2023,1707314,0.82,621041,0.68,72479,0.88,70493,0.78,15198,1.13,757778,1.11
01/14/2023,2074446,0.76,785952,0.66,84718,0.87,83565,0.64,15407,1.06,817979,1.07
01/13/2023,3276062,0.63,1345748,0.66,167475,0.55,147885,0.55,26085,0.92,922864,1.06
01/12/2023,3479859,0.67,1364715,0.67,188850,0.62,168701,0.63,27119,0.96,881579,1.01
01/11/2023,3516128,0.68,1421914,0.69,188904,0.63,174350,0.65,27991,0.99,864282,0.99
01/10/2023,3476591,0.67,1412543,0.69,196817,0.65,179531,0.67,27309,0.97,859974,0.99
01/09/2023,3152372,0.61,1353638,0.66,173594,0.57,157335,0.58,24923,0.88,829372,0.95
01/08/2023,1612293,0.77,628612,0.68,68647,0.83,64894,0.72,15157,1.12,739656,1.08
01/07/2023,2118435,0.78,806981,0.67,87215,0.9,85244,0.66,14828,1.02,808570,1.06
01/06/2023,3235908,0.63,1319595,0.64,161259,0.53,142525,0.53,25824,0.91,873654,1.01
01/05/2023,3435562,0.67,1378698,0.67,175278,0.58,166642,0.62,26808,0.95,859218,0.99
01/04/2023,3420334,0.66,1391449,0.68,182834,0.61,170847,0.63,26848,0.95,839120,0.97
01/03/2023,3182630,0.62,1268913,0.62,179109,0.59,167136,0.62,24868,0.88,815532,0.94
